Movie,Year,Runtime,Actor,Actor 2,Actor 3,Actor 4,Director,Genre1,Genre2,Genre3,IMDb,RT,Created
Million Dollar Arm,2014,124,Jon Hamm,Aasif Mandvi,Alan Arkin,Unknown,Craig Gillespie,Biography, Drama, Family,7.0,65.0,2024-07-04
Stand by Me,1986,89,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,Rob Reiner,Adventure, Comedy, Drama,8.1,91.0,2024-07-04
Ferris Bueller's Day Off,1986,103,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,John Hughes,Comedy,Unknown,Unknown,7.8,81.0,2024-07-04
F1: The Movie,2025,155,Brad Pitt,Damon Idris,Javier Bardem,Unknown,Joseph Kosinski,Action, Drama, Sport,7.7,69.63468634686348,2024-07-07
Jack Ryan,2018,60,John Krasinski,Wendell Pierce,Michael Kay,Unknown,0,Action, Crime, Drama,8.0,69.63468634686348,2024-07-11
Entourage,2004,28,Kevin Connolly,Adrian Grenier,Kevin Dillon,Unknown,0,Comedy, Drama,Unknown,8.4,33.0,2024-07-17
Radio,2003,109,Cuba Gooding Jr.,Ed Harris,Debra Winger,Unknown,Michael Tollin,Biography, Drama, Sport,6.9,35.0,2024-07-23
Night at the Museum,2006,108,Ben Stiller,Carla Gugino,Ricky Gervais ,Unknown,Shawn Levy,Adventure, Comedy, Family,6.5,43.0,2024-08-19
The Interview,2014,112,James Franco,Seth Rogen,Randall Park,Unknown,Evan Goldberg,Action, Adventure, Comedy,6.5,52.0,2024-08-19
Old,2021,108,Gael Garcia Bernal,Vicky Krieps,Rufus Sewell,Unknown,M. Night Shyamalan,Drama, Horror, Mystery,5.8,69.63468634686348,2024-08-25
Beetlejuice,1988,92,Alec Baldwin,Geena Davis,Michael Keaton,Annie McEnroe,Tim Burton,Comedy, Fantasy,Unknown,7.5,85.0,2024-08-25
Green Book,2018,130,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,Peter Farrelly,Biography, Comedy, Drama,8.2,77.0,2024-08-25
Scary Movie,2000,88,Anna Faris,Jon Abrahams,Marlon Wayans,Unknown,Keenen Ivory Wayans,Comedy,Unknown,Unknown,6.3,53.0,2024-08-25
We Were Soldiers,2002,138,Mel Gibson,Madeleine Stowe,Greg Kinnear,Sam Elliott,Randall Wallace,Action, Drama, History,7.2,63.0,2024-11-23
The Peanut Butter Falcon,2019,97,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,Tyler Nilson,Adventure, Comedy, Drama,7.6,96.0,2024-11-26
Wall Street,1987,126,Charlie Sheen,Michael Douglas,Tamara Tunie,Franklin Cover,Oliver Stone,Crime, Drama,Unknown,7.3,79.0,2025-01-01
A Star Is Born,2018,136,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,Bradley Cooper,Drama, Music, Romance,7.6,100.0,2025-02-10
Wet Hot American Summer,2001,97,Janeane Garofalo,David Hyde Pierce,Michael Showalter,Unknown,David Wain,Comedy, Romance,Unknown,6.5,38.0,2025-02-10
Midway,2019,138,Ed Skrein,Patrick Wilson,Woody Harrelson,Unknown,Roland Emmerich,Action, Drama, History,6.7,47.0,2025-03-02
Field of Dreams,1989,107,Kevin Costner,James Earl Jones,Ray Liotta,Amy Madigan,Phil Alden Robinson,Drama, Family, Fantasy,7.5,87.0,2025-03-03
Let's Be Cops,2014,104,Jake Johnson,Damon Wayans Jr.,Rob Riggle,Unknown,Luke Greenfield,Action, Comedy, Crime,6.4,18.0,2025-03-22
Orange County,2002,82,Colin Hanks,Jack Black,Schuyler Fisk,Unknown,Jake Kasdan,Comedy, Drama,Unknown,6.2,46.0,2025-04-02
Warfare,2025,95,D'Pharaoh Woon-A-Tai,Will Poulter,Cosmo Jarvis,Unknown,Ray Mendoza,Action, Drama, War,7.3,69.63468634686348,2025-04-13
The Accountant,2016,128,Ben Affleck,Anna Kendrick,J.K. Simmons,Jon Bernthal,Gavin O'Connor,Action, Crime, Drama,7.3,52.0,2025-04-17
The Accountant 2,2025,132,Ben Affleck,Jon Bernthal,Cynthia Addai-Robinson,Unknown,Gavin O'Connor,Action, Crime, Drama,6.7,69.63468634686348,2025-04-17
Everything Everywhere All at Once,2022,139,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan,Daniel Kwan,Action, Adventure, Comedy,7.8,69.63468634686348,2025-04-17
Warrior,2011,140,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,Gavin O'Connor,Action, Drama, Sport,8.1,83.0,2025-05-04
Mad Max: Fury Road,2015,120,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoe Kravitz,George Miller,Action, Adventure, Sci-Fi,8.1,97.0,2025-05-04
Before Sunrise,1995,101,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Poschl,Richard Linklater,Comedy, Drama, Romance,8.1,100.0,2025-05-04
Bridge of Spies,2015,142,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,Steven Spielberg,Drama, History, Thriller,7.6,90.0,2025-05-04
All Quiet on the Western Front,2022,148,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Unknown,Edward Berger,Drama, History, War,7.8,100.0,2025-05-04
Three Kings,1999,114,George Clooney,Mark Wahlberg,Ice Cube,Unknown,David O. Russell,Action, Adventure, Comedy,7.1,94.0,2025-05-04
Flags of Our Fathers,2006,135,Ryan Phillippe,Barry Pepper,Joseph Cross,Unknown,Clint Eastwood,Action, Adventure, Drama,7.1,73.0,2025-05-04
Behind Enemy Lines,2001,106,Gene Hackman,Owen Wilson,Gabriel Macht,Unknown,John Moore,Action, Drama, Thriller,6.4,37.0,2025-05-04
Overlord,2018,110,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Unknown,Julius Avery,Action, Horror, Sci-Fi,6.6,81.0,2025-05-04
12 Strong,2018,130,Chris Hemsworth,Michael Shannon,Michael Pena,Unknown,Nicolai Fuglsig,Action, Drama, History,6.5,50.0,2025-05-04
The Monuments Men,2014,118,George Clooney,Matt Damon,Bill Murray,Unknown,George Clooney,Biography, Comedy, Drama,6.1,30.0,2025-05-08
Grand Prix,1966,176,James Garner,Eva Marie Saint,Yves Montand,Unknown,John Frankenheimer,Drama, Sport,Unknown,7.2,100.0,2025-05-24
Major League II,1994,105,Charlie Sheen,Tom Berenger,Corbin Bernsen,Unknown,David S. Ward,Comedy, Sport,Unknown,5.6,5.0,2025-06-20
17 Again,2009,102,Zac Efron,Matthew Perry,Leslie Mann,Unknown,Burr Steers,Comedy,Drama,Fantasy,6.4,56.0,2025-06-29
