Movie,Year,Runtime,Actor,Actor 2,Actor 3,Actor 4,Director,Genre1,Genre2,Genre3,IMDb,RT,Created
John Wick: Chapter 3 - Parabellum,2019,130,Keanu Reeves,Halle Berry,Ian McShane,Laurence Fishburne,Chad Stahelski,Action, Crime, Drama,7.4,90.0,2023-06-12
John Wick: Chapter 4,2023,169,Keanu Reeves,Laurence Fishburne,George Georgiou,Lance Reddick,Chad Stahelski,Action, Crime, Thriller,7.6,69.63468634686348,2023-06-12
Man on Fire,2004,146,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,Tony Scott,Action, Crime, Drama,7.7,38.0,2023-06-12
National Treasure,2004,131,Nicholas Cage,Diane Kruger,Justin Bartha,Unknown,Jon Turteltaub,Action, Adventure, Mystery,6.9,46.0,2023-06-13
Meet the Fockers,2004,115,Ben Stiller,Robert De Niro,Blythe Danner,Unknown,Jay Roach,Comedy, Romance,Unknown,6.4,39.0,2023-06-16
The Gentlemen,2019,113,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,Guy Ritchie,Action, Crime,Unknown,7.8,75.0,2023-06-18
From Dusk Till Dawn,1996,108,Harvey Keitel,George Clooney,Juliette Lewis,Quentin Tarantino,Robert Rodriguez,Action, Crime, Horror,7.2,62.0,2023-06-20
One Flew Over the Cuckoo's Nest,1975,133,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,Milos Forman,Drama,Unknown,Unknown,8.7,94.0,2023-06-21
Death Proof,2007,127,Kurt Russell,Zoe Bell,Rosario Dawson,Unknown,Quentin Tarantino,Drama, Thriller,Unknown,7.0,64.0,2023-06-23
Jackie Brown,1997,154,Pam Grier,Samuel L. Jackson,Robert Forster,Bridget Fonda,Quentin Tarantino,Crime, Drama, Thriller,7.5,87.0,2023-06-23
Tin Cup,1996,135,Kevin Costner,Rene Russo,Don Johnson,Unknown,Ron Shelton,Comedy, Drama, Romance,6.4,71.0,2023-06-23
Jack Reacher,2012,130,Tom Cruise,Rosamund Pike,Richard Jenkins,Unknown,Christopher McQuarrie,Action, Thriller,Unknown,7.0,64.0,2023-06-26
Rudy,1993,114,Jon Favreau,Jon Favreau,Ned Beatty,Greta Lind,David Anspaugh,Biography, Drama, Sport,7.5,78.0,2023-06-26
Coach Carter,2005,136,Rick Gonzalez,Rick Gonzalez,Robert Ri'chard,Rob Brown,Thomas Carter,Biography, Drama, Sport,7.3,64.0,2023-06-26
A Beautiful Mind,2001,135,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,Ron Howard,Biography, Drama, Mystery,8.2,74.0,2023-06-27
Sully,2016,96,Aaron Eckhart,Aaron Eckhart,Laura Linney,Valerie Mahaffey,Clint Eastwood,Biography, Drama,Unknown,7.4,85.0,2023-06-27
Straight Outta Compton,2015,147,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,F. Gary Gray,Biography, Drama, History,7.8,89.0,2023-06-27
Saving Mr. Banks,2013,125,Emma Thompson,Tom Hanks,Annie Rose Buckley,Unknown,John Lee Hancock,Biography, Comedy, Drama,7.5,79.0,2023-06-27
Apollo 13,1995,140,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ron Howard,Adventure, Drama, History,7.7,96.0,2023-06-28
Cast Away,2000,143,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White,Robert Zemeckis,Adventure, Drama, Romance,7.8,88.0,2023-06-28
Weekend at Bernie's,1989,97,Andrew McCarthy,Jonathan Silverman,Catherine Mary Stewart,Unknown,Ted Kotcheff,Adventure, Comedy, Crime,6.4,54.0,2023-06-29
Citizen Kane,1941,119,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,Orson Welles,Drama, Mystery,Unknown,8.3,100.0,2023-06-29
Blade Runner 2049,2017,164,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,Denis Villeneuve,Action, Drama, Mystery,8.0,88.0,2023-06-29
2001: A Space Odyssey,1968,149,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,Stanley Kubrick,Adventure, Sci-Fi,Unknown,8.3,92.0,2023-06-29
There Will Be Blood,2007,158,Daniel Day-Lewis,Paul Dano,Ciaran Hinds,Martin Stringer,Paul Thomas Anderson,Drama,Unknown,Unknown,8.2,92.0,2023-06-29
Raiders of the Lost Ark,1981,115,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Steven Spielberg,Action, Adventure,Unknown,8.4,95.0,2023-06-29
"The Good, the Bad and the Ugly",1966,178,Clint Eastwood,Eli Wallach,Lee Van Cleef,Unknown,Sergio Leone,Adventure, Drama, Western,8.8,97.0,2023-06-29
Dumb and Dumber To,2014,109,Jim Carrey,Jeff Daniels,Rob Riggle,Unknown,Bobby Farrelly,Comedy,Unknown,Unknown,5.6,30.0,2023-06-29
Zodiac,2007,157,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,David Fincher,Crime, Drama, Mystery,7.7,89.0,2023-06-29
The Deer Hunter,1978,183,Robert De Niro,Christopher Walken,John Cazale,John Savage,Michael Cimino,Drama, War,Unknown,8.1,93.0,2023-07-03
The Great Escape,1963,172,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,John Sturges,Adventure, Drama, Thriller,8.2,94.0,2023-07-04
Serpico,1973,130,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire,Sidney Lumet,Biography, Crime, Drama,7.7,90.0,2023-07-04
